text	label
A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http	negative
Biodiversité et développement durable : la petite histoire verte du campus http @user	neutral
Des aides du #gouvernement pour des #logements plus #écologiques. -- http	positive
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir"""	negative
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user	neutral
Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http	positive
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http	negative
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …	neutral
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http	positive
Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user	negative
[#Energie #innovation #solaire #baterie] - Une cellule solaire qui stocke sa propre énergie: http http	neutral
@user @user le rendement des éoliennes est quasiment au niveau théorique. Le solaire thermodynamique n'est pas encore top	positive
#biodiversité L'Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http	negative
#Suède : une alternative écologique aux batteries au lithium http	neutral
C’est une première : des scientifiques élaborent une cellule #solaire qui stocke sa propre énergie - @user - ►► http #ENR	positive
#Ecologistes et #communistes sans merci à La Rochelle  http via @user	negative
Ecologie c'est tout ce que j'entend	neutral
@user: construction, Transition énergétique. Développement durable, Économie. par ici la monnaie! http	positive
#Canada : Espèces en péril: écologistes et industriels s'unissent contre Ottawa http	negative
#Leclanché et #EPFL testent un nouveau système de #stockage d'énergie solaire | http via @user	neutral
Les raccordements d'installations d'énergies #renouvelables progresse en France. En route vers la #transition http	positive
"Ce matin dans @user, une interview de @user : ""je ne veux pas que l'écologie soit punitive"". #ecologie #verts #gouvernement"	negative
"PayinTech, un écosystème technologique de paiement et de services: La ""Start-up de la semaine"", rubrique lancée par… http"	neutral
#ecologie Suppression de l'écotaxe : « On vit sous l'effet des lobbies », selon la sénatrice EELV Benbassa http	positive
Comment imaginer une pareille chose???????? La SQ démantèle un réseau de voleurs d'huile de friture http	negative
@user tchiiiiiiiiip STI2D : Sciences et technique de l'industrie et du développement durable	neutral
@user On s'étonne qu'elle soit ouverte, cette pêche à l'anguille. Sauf si pêcher une espèce menacée est une forme de protection...	positive
1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l… http	negative
Ils ne croient plus à la politique des partis et des urnes. Ils sont anarchistes, socialistes, écologistes et... http	neutral
