text	label
yang memerlukan pemerhatian dan tindakan serius	positive
sentiasa memikirkan dan merancang inisiatif bagi menambah baik sistem penyampaian kerajaan kepada rakyat	positive
Kita akan tengok daripada pelbagai aspek supaya akhirnya hak rakyat dapat dikembalikan, itu fokus kita pada tahun ini selaras dengan arahan pucuk pimpinan SPRM	positive
justeru asean perlu mengambil tindakan sebagaimana dianjurkan oleh malaysia	positive
@_Niiar_ Jangan punah dulu, aku belum ke labuan bajo	neutral
Tanpa filter siapa lah aku https://t.co/VIpEX5C0ml	neutral
Para pelabur dan pasaran global hilang keyakinan terhadap kita dan kita mengambil masa yang lama untuk memenangi semula hati mereka	negative
let's say one day kelak ada org kelaka burok pasal aku ada sik kawan aku yg akan back up aku oh? just wonder	negative
Member tu aku tengok kurus aje, tembam mananya	neutral
Jadi ia tidak seragam	negative
@mkini_bm Tutup kilang pelabur akan ugut untuk lari ke negara lain..mana berani kerajaan selangor dgn taikun	negative
Hubungan yang rapat ini penting dalam meningkatkan kebolehpasaran graduan agar dapat menepati kehendak industri selepas mereka bergraduasi	positive
Tak sangka rumate dah besar. Siap dah bau peluh2 masammmm dah. Hahaha https://t.co/Ryl44lqZKl	neutral
@Haiti274 @BudakBumBesar @mrfzr13 Jom bby	neutral
Oleh kerana proses pengambilalihan itu belum selesai, MRT Corp tidak mempunyai hak milik ke atas Ampang Park dan tidak dapat mengawal apa yang berlaku kepada bangunan itu ketika ini	positive
@syzsq Kt johor tkde	negative
Saya berharap kerjasama seperti ini dapat diteruskan dan seterusnya dapat menjadikan kementerian ini sebagai kementerian yang benar-benar dapat membantu rakyat.	positive
meniruskan fokusnya kepada 'ketidakadilan semula jadi' media asing terhadap kerajaan tetapi bersikap sebaliknya terhadap pembangkang.	negative
Kedua-dua sekolah dapat berkongsi pelbagai kemudahan seperti padang	positive
Resolusi itu memberi kesan besar terhadap Malaysia, bukan sahaja dari segi ekonomi, malah terhadap pendapatan pekebun kecil kelapa sawit yang bergantung kepada penjualan hasil eksport berkenaan	negative
Sebab itu kita perlu kerja lebih gigih bukan saja untuk menang kerusi DAP, tapi pada masa sama turut bantu rakan-rakan Harapan.	positive
perdana menteri telah memberitahu komuniti perniagaan amerika syarikat bahawa kempen untuk sengaja mensabotaj mdb dan melemahkan keyakinan pelabur terhadap ekonomi malaysia	negative
Malah tidak keterlaluan jika kita katakan bahawa penggunaan teknologi adalah pelengkap kepada keperluan kehidupan seharian kita	positive
perbaiki sistem penyampaian pedalaman Sabah	positive
Apel pagi personil sat lantas polres serdang bedagai https://t.co/6TAa1wojeE	negative
Kita ada agenda yang penuh namun ia turut menjadi peluang untuk memperluas kepentingan bersama kita	positive
dakwaan itu juga boleh menyebabkan dunia kurang keyakinan terhadap keupayaan negara mengawal tempat-tempat keselamatan.	negative
Atas pengalaman itu, kita lihat MCA tak mampu menarik undi kaum Cina apabila hasil analisis dilakukan didapati kawasan majoriti Cina seperti di Dun Teruntum tidak memihak kepada BN.	positive
mempersoalkan motif di sebalik makan malam anak kepada bekas Perdana Menteri	positive
@amadsafir Terima kasih bosku	positive
Peluang hanya datang sekali sahaja seumur hidup bagi menyeimbangkan duniawi dan ukhrawi, bagi menjadi insan yang kamil dan aset kepada negara dan bukannya liabiliti	positive
@KhairulAqmal @ummijohan Maaf cik tu di penang. Kami kat kedah sibuk nak korek sungai bagi ayaq xsampai penang	positive
Kelompok pertama yang didiskriminasi oleh polisi baru ini ialah golongan graduan kelas kedua atas dan kelas kedua bawah yang sebelum ini berpeluang menjadi pegawai tadbir diplomatik dalam perkhidmatan awam	negative
Watch your mouth bro, mereka terkecuali daripada politik.	negative
Penugasan Sekatan Jalan Raya (SJR) dilaksanakan di Jalan Jerantut - Maran (Simpang Padang Piol) bersama PDRM, ATM, https://t.co/C4uTeXqXP5	neutral
COVID-19: 6,239 kes baharu hari ini (9 Jun), Selangor kekal tertinggi dengan 2,291 kes - KP Kesihatan @DGHisham https://t.co/RYNnIYoLkE	neutral
banyak lagi boleh di senaraikan tentang kejayaan asean	positive
Berita tersebut adalah palsu yang sengaja diada-adakan dalam usaha untuk menggambarkan bahawa sistem demokrasi di negara kita tidak telus dan tidak	negative
hanya royals di johor je yg wonder kenapa bantuan kpd rakyat tak melalui kerajaan negeri, dan keep questioning dia https://t.co/sx7MmIkpRe	negative
